Model,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Predicted Anomaly Fraction
EllipticEnvelope,0.9966082294325631,0.998301180029193,0.998301180029193,0.998301180029193,0.018292682926829267,0.018292682926829267,0.018292682926829267,0.001727485630620034
IsolationForest,0.9974298384520044,0.9987126954258481,0.9987126954258481,0.9987126954258481,0.25609756097560976,0.25609756097560976,0.25609756097560976,0.001727485630620034
OneClassSVM,0.9823599841296036,0.9993741976319639,0.9829449730052934,0.9910915035924789,0.0613627564847077,0.6443089430894309,0.1120537292329445,0.018138599121510356
LocalOutlierFactor,0.9965450287387599,0.998269524998681,0.998269524998681,0.998269524998681,0.0,0.0,0.0,0.001727485630620034
